entity,count
'insulin lispro'],12
'WNT3A gene',12
'secretin'],12
'PTPN2 gene',12
'Pro-Opiomelanocortin'],12
C-Type',12
'eIF-2 Kinase',12
'CYP7A1 gene',12
'peptide YY (3-36)',12
'Gastric Inhibitory Polypeptide'],12
'Interferons'],12
'Growth Hormone Receptor',12
'KLB gene',12
['Transforming Growth Factor beta',12
'Arginine Kinase',12
'TNFSF11 protein,12
'Gonadotropins',12
'Immunoglobulin E',12
'Aminopeptidase'],12
'Activins',12
'Thyroid Hormone Receptor'],12
'ABCA1 gene',12
['FOXO1 gene',12
['pyruvate dehydrogenase'],12
'MMP14 protein,12
'Nerve Growth Factors',12
'MIR150 wt Allele',12
'stress-activated protein kinase 1',12
['gastric inhibitory polypeptide receptor',12
'Integrins',12
'sodium/potassium-exchanging ATPase activity',12
['pyruvate dehydrogenase',12
['Adiponectin'],12
'calmodulin-dependent protein kinase II',12
'RHOA protein,12
'Interferon Type I'],12
'human REG1A protein',12
['UCP1 gene',12
['angiotensin II',12
'Amylin'],11
'malonyl-CoA decarboxylase',11
'Hemoglobin,11
'Leukotriene B4 Receptors',11
'leukotriene A4 hydrolase',11
'SH2B protein,11
'Transforming Growth Factors',11
'ubiquitin-protein ligase'],11
Type 1',11
'glycerol-3-phosphate acyltransferase activity',11
'Creatine Kinase',11
'NKX6-1 gene',11
'dornase alfa',11
'mechanistic target of rapamycin complex 1'],11
'Endothelin Receptor',11
'MADCAM1 protein,11
'1-Phosphatidylinositol 3-Kinase'],11
'Lectin',11
'Glucocorticoid Receptor'],11
'Interleukin-2'],11
'BCL2A1 gene',11
'interleukin-3',11
'NRP1 gene',11
'Ceramide Kinase,11
['amylase'],11
'RAMP1 gene',11
'Calpain',11
'YY1 gene',11
'Liver X Receptors'],11
['DGAT2 gene',11
'Vascular Endothelial Growth Factor Receptor',11
['Cyclic AMP-Dependent Protein Kinases',11
'gamma-interferon',11
'Microtubule-Associated Proteins',11
USP'],11
'IGF1 protein,11
'Membrane Transport Proteins'],11
'Mitogen-Activated Protein Kinase 14',11
'1-Phosphatidylinositol 4-Kinase',11
'XBP1 gene',11
'Presenilin-1',11
'metal transporting protein 1',11
'ADAM Family Gene',11
'Cholesterol Ester Transfer Proteins',11
'factor VIII',11
'papain',11
'EIF2AK3 gene',11
'FOXP3 gene',11
'PDHX gene'],11
'Ribosomal Protein S6 Kinase',11
'Disintegrin Domain',11
['SLC2A1 gene',11
'FZD1 protein,11
'FOXA2 gene',11
'Sterol Regulatory Element Binding Proteins'],11
['T-Cell Receptor',11
'receptor for advanced glycation endproducts',11
'T-cell protein tyrosine phosphatase',11
'palmidrol',11
'erbB-2 Receptor',11
['SLC5A2 gene'],11
'Interleukin 2 Receptor',11
'FOXO3 gene',11
'Tumor Necrosis Factor Receptor',11
'SIRT1 gene',11
['cholecystokinin',11
'Endothelium',11
'11-BETA-HYDROXYSTEROID DEHYDROGENASE,10
TYPE II',10
'Malate Dehydrogenase',10
'adrenomedullin',10
'Neuropeptide Y Receptor Type 2',10
'Presenilin-2',10
'Retinoblastoma Protein',10
'Cortisone Reductase',10
'carbonyl reductase (NADPH)',10
'GPR17 gene',10
'NR1H4 protein,10
'Clathrin',10
'Cytochromes b5',10
'interleukin-5',10
Interleukin-1',10
'Transcription Factor 4',10
'KLRG1 gene',10
['Histocompatibility Antigens Class II',10
'Integrase'],10
'KCNA3 gene',10
'TBC1D4 gene',10
['NR5A2 gene',10
'Histone H3 Lysine 4',10
'Placental Lactogen',10
Nuclear'],10
'GLUT-1 protein',10
['Somatomedins'],10
'PTPN1 protein,10
'Glicentin',10
'ADIPOQ gene',10
'P-Selectin',10
'Glucagon Receptor'],10
['Sterol 12-alpha-Hydroxylase',10
'Oxyntomodulin'],10
